postcodes,town,state,state_code,province,latitude,longitude,country_iso_alpha2,country_iso_alpha3,country_iso_numeric
34124,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34125,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34126,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34127,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34128,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34129,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34131,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34132,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34133,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34134,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34135,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34136,Cedas,Friuli-Venezia Giulia,FV,Trieste,45.7,13.7333,IT,ITA,380
34137,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34138,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34139,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34141,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34142,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34143,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34144,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34145,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34146,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34147,Aquilinia,Friuli-Venezia Giulia,FV,Trieste,45.6,13.8,IT,ITA,380
34148,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78,IT,ITA,380
34149,Cattinara,Friuli-Venezia Giulia,FV,Trieste,45.6333,13.8167,IT,ITA,380
34151,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6536,13.7784,IT,ITA,380
33100,Baldasseria,Friuli-Venezia Giulia,FV,Udine,46.033,13.2964,IT,ITA,380
16100,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16121,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16122,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16123,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16124,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16125,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16126,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16127,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16128,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16129,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16131,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16132,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16133,San Desiderio,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16134,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16135,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16136,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16137,Staglieno,Liguria,LG,Genova,44.4333,8.95,IT,ITA,380
16138,Molassana,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16139,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16141,Sant'Eusebio,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16142,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
